AccountID,AccountName,Category,SubCategory,StatementType,NaturalSide,TotalDebit,TotalCredit,NetBalance,IsActive
ACC_0069,Accrued Income on FDR,Assets,Other Current Assets,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0070,ADVANCE TAX,Assets,Tax Assets,Balance Sheet,Debit,23894750.0,0.0,23894750.0,Yes
ACC_0071,SECURITY DEPOSIT - IOC APPARELS AND HCG GAS,Assets,Other Current Assets,Balance Sheet,Debit,6260380.0,0.0,6260380.0,Yes
ACC_0072,TCS,Assets,Tax Assets,Balance Sheet,Debit,129727.0,0.0,129727.0,Yes
ACC_0073,TDS,Assets,Tax Assets,Balance Sheet,Debit,195965.0,0.0,195965.0,Yes
ACC_0074,Sales Accounts,Revenue,Sales,P&L,Credit,0.0,33740842.16,-33740842.16,Yes
ACC_0075,Un Exempt Sales A/c,Revenue,Sales,P&L,Credit,0.0,33740842.16,-33740842.16,Yes
ACC_0076,Purchase Accounts,Expenses,Purchases,P&L,Debit,15227423.2,261611.0,14965812.2,Yes
ACC_0077,DISCOUNT REBATE,Expenses,Purchases - Discount,P&L,Debit,260047.89,0.0,260047.89,Yes
ACC_0078,DISCOUNT RECEIVED,Revenue,Discount Received,P&L,Credit,0.0,261611.0,-261611.0,Yes
ACC_0079,PURCHASE GST 18%,Expenses,Purchases,P&L,Debit,245274.26,0.0,245274.26,Yes
ACC_0080,PURCHASE GST 28%,Expenses,Purchases,P&L,Debit,0.0,0.0,0.0,No
ACC_0081,PURCHASE GST 5%,Expenses,Purchases,P&L,Debit,981145.3,0.0,981145.3,Yes
ACC_0082,PURCHASE GST TAX FREE,Expenses,Purchases,P&L,Debit,19539.0,0.0,19539.0,Yes
ACC_0083,PURCHASE IGST 12%,Expenses,Purchases,P&L,Debit,438884.37,0.0,438884.37,Yes
ACC_0084,PURCHASE IGST 18%,Expenses,Purchases,P&L,Debit,623688.78,0.0,623688.78,Yes
ACC_0085,PURCHASE IGST 5%,Expenses,Purchases,P&L,Debit,12658843.6,0.0,12658843.6,Yes
ACC_0086,Expenses (Direct) (Direct Expenses),Expenses,Direct Expenses,P&L,Debit,8655359.4,0.0,8655359.4,Yes
ACC_0087,DELIVERY CHARGES,Expenses,Direct Expenses,P&L,Debit,364975.0,0.0,364975.0,Yes
ACC_0088,Electricity Expense,Expenses,Direct Expenses,P&L,Debit,565774.0,0.0,565774.0,Yes
ACC_0089,FREIGHT AND CARTAGE,Expenses,Direct Expenses,P&L,Debit,600.0,0.0,600.0,Yes
ACC_0090,FREIGHT AND CARTAGE IGST 12%,Expenses,Direct Expenses,P&L,Debit,1151390.0,0.0,1151390.0,Yes
ACC_0091,GAS EXPENSES,Expenses,Direct Expenses,P&L,Debit,4079655.0,0.0,4079655.0,Yes
ACC_0092,GAS EXPENSES IGST 18%,Expenses,Direct Expenses,P&L,Debit,53602.4,0.0,53602.4,Yes
ACC_0093,HR SERVICES (MANPOWER SERVICES) GST 18%,Expenses,Direct Expenses,P&L,Debit,2346638.0,0.0,2346638.0,Yes
ACC_0094,Labour Charges  (Atta Unload),Expenses,Direct Expenses,P&L,Debit,47705.0,0.0,47705.0,Yes
ACC_0095,Labour on hire,Expenses,Direct Expenses,P&L,Debit,45020.0,0.0,45020.0,Yes
ACC_0096,Income (Indirect) (Indirect Incomes),Revenue,Indirect Income,P&L,Credit,1250.0,43650.0,-42400.0,Yes
ACC_0097,Cartage Charges,Revenue,Indirect Income,P&L,Credit,0.0,43650.0,-43650.0,Yes
ACC_0098,Cash Discount,Revenue,Indirect Income,P&L,Credit,1250.0,0.0,1250.0,Yes
ACC_0099,Interest Income,Revenue,Indirect Income,P&L,Credit,0.0,0.0,0.0,No
ACC_0100,Interest on FDR- 50301072325452,Revenue,Indirect Income,P&L,Credit,0.0,0.0,0.0,No
ACC_0101,Interest on Income Tax Refund,Revenue,Indirect Income,P&L,Credit,0.0,0.0,0.0,No
ACC_0102,Misc Receipt,Revenue,Indirect Income,P&L,Credit,0.0,0.0,0.0,No
ACC_0103,Expenses (Indirect) (Indirect Expenses),Expenses,Indirect Expenses,P&L,Debit,5574570.57,1474.41,5573096.16,Yes
ACC_0104,Employee Expenses,Expenses,Employee Expenses,P&L,Debit,2400899.0,0.0,2400899.0,Yes
ACC_0105,ADMINISTRATION CHARGES,Expenses,Employee Expenses,P&L,Debit,4867.0,0.0,4867.0,Yes
ACC_0106,DIWALI BONUS,Expenses,Employee Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0107,EDLI Charges,Expenses,Employee Expenses,P&L,Debit,4867.0,0.0,4867.0,Yes
ACC_0108,EPF,Expenses,Employee Expenses,P&L,Debit,116799.0,0.0,116799.0,Yes
ACC_0109,ESIC,Expenses,Employee Expenses,P&L,Debit,34295.0,0.0,34295.0,Yes
ACC_0110,LWF,Expenses,Employee Expenses,P&L,Debit,2970.0,0.0,2970.0,Yes
ACC_0111,Recruitment Expenses,Expenses,Employee Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0112,SALARY,Expenses,Employee Expenses,P&L,Debit,2237101.0,0.0,2237101.0,Yes
ACC_0113,STAFF WELFARE,Expenses,Employee Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0114,ACCOUNTING CHARGES,Expenses,Admin & Professional,P&L,Debit,122500.0,0.0,122500.0,Yes
ACC_0115,AUDIT FEES,Expenses,Admin & Professional,P&L,Debit,0.0,0.0,0.0,No
ACC_0116,BAD DEBTS,Expenses,Other Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0117,BANK CHARGES,Expenses,Finance Charges,P&L,Debit,686.86,0.0,686.86,Yes
ACC_0118,BUSINESS PROMOTION GST18%,Expenses,Marketing & Promotion,P&L,Debit,3841.13,0.0,3841.13,Yes
ACC_0119,COMPUTER REPAIR AND MANITANCE,Expenses,Repairs & Maintenance,P&L,Debit,13931.02,0.0,13931.02,Yes
ACC_0120,DEPRECIATION,Expenses,Depreciation,P&L,Debit,0.0,0.0,0.0,No
ACC_0121,FACTORY REPAIR & MAINTANCE,Expenses,Repairs & Maintenance,P&L,Debit,17935.0,0.0,17935.0,Yes
ACC_0122,Fees & Subscription,Expenses,Admin & Professional,P&L,Debit,8000.0,0.0,8000.0,Yes
ACC_0123,FUEL EXEPENSES,Expenses,Vehicle & Travel,P&L,Debit,93500.0,0.0,93500.0,Yes
ACC_0124,GENERAL EXPENSES,Expenses,Other Expenses,P&L,Debit,2000.0,0.0,2000.0,Yes
ACC_0125,Income Tax Expenses,Expenses,Tax Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0126,INSURANCE,Expenses,Insurance,P&L,Debit,0.0,0.0,0.0,No
ACC_0127,Interest on TDS Payable,Expenses,Finance Charges,P&L,Debit,54.0,0.0,54.0,Yes
ACC_0128,LICENCE,Expenses,Admin & Professional,P&L,Debit,18009.44,0.0,18009.44,Yes
ACC_0129,MACHINERY PARTS IGST 18%,Expenses,Repairs & Maintenance,P&L,Debit,1035590.0,0.0,1035590.0,Yes
ACC_0130,MACHINERY REPAIR & MAINTANCE,Expenses,Repairs & Maintenance,P&L,Debit,0.0,0.0,0.0,No
ACC_0131,Medicine,Expenses,Employee Expenses,P&L,Debit,3665.0,0.0,3665.0,Yes
ACC_0132,MISC EXPENSES,Expenses,Other Expenses,P&L,Debit,100038.0,0.0,100038.0,Yes
ACC_0133,Office Expenses,Expenses,Office Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0134,Office Maitenance,Expenses,Office Expenses,P&L,Debit,12030.0,0.0,12030.0,Yes
ACC_0135,OFFICE REPAIR & MAINTANCE,Expenses,Repairs & Maintenance,P&L,Debit,4356.25,0.0,4356.25,Yes
ACC_0136,OFFICE REPAIR & MAINTANCE GST 18%,Expenses,Repairs & Maintenance,P&L,Debit,28984.53,0.0,28984.53,Yes
ACC_0137,OFFICE REPAIR & MAINTANCE IGST 18%,Expenses,Repairs & Maintenance,P&L,Debit,20445.0,0.0,20445.0,Yes
ACC_0138,Phone Pay Transaction Charges,Expenses,Finance Charges,P&L,Debit,348.78,0.0,348.78,Yes
ACC_0139,PRINTING & STATIONARY,Expenses,Office Expenses,P&L,Debit,30061.32,0.0,30061.32,Yes
ACC_0140,Professional Charges,Expenses,Admin & Professional,P&L,Debit,0.0,0.0,0.0,No
ACC_0141,Rent,Expenses,Rent,P&L,Debit,1553029.75,0.0,1553029.75,Yes
ACC_0142,Roundoff,Expenses,Other Expenses,P&L,Debit,288.48,154.41,134.07,Yes
ACC_0143,SOFTWARE EXPNESES IGST 18%,Expenses,IT Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0144,Staff Insurance,Expenses,Insurance,P&L,Debit,17770.0,0.0,17770.0,Yes
ACC_0145,Tea Exp,Expenses,Office Expenses,P&L,Debit,28010.0,0.0,28010.0,Yes
ACC_0146,Telephone Expense,Expenses,Communication,P&L,Debit,18318.7,0.0,18318.7,Yes
ACC_0147,Traveling & Conveyance,Expenses,Vehicle & Travel,P&L,Debit,0.0,0.0,0.0,No
ACC_0148,Vehicle Insurance,Expenses,Insurance,P&L,Debit,0.0,0.0,0.0,No
ACC_0149,VEHICLE REPAIR & MAINTANCE,Expenses,Vehicle & Travel,P&L,Debit,14017.8,0.0,14017.8,Yes
ACC_0150,WATER EXPENSES,Expenses,Utilities,P&L,Debit,3900.0,1320.0,2580.0,Yes
ACC_0151,WEBSITE EXPENSES,Expenses,IT Expenses,P&L,Debit,0.0,0.0,0.0,No
ACC_0152,Write Off Expenses,Expenses,Other Expenses,P&L,Debit,22360.51,0.0,22360.51,Yes
